feature,slice_value,support,base_error_rate,lens_error_rate,delta_error
stats.num_shots,"(0.999, 2.0]",282,0.15602836879432624,0.16312056737588654,0.007092198581560294
stats.num_shots,"(2.0, 6.0]",146,0.15753424657534246,0.14383561643835616,-0.0136986301369863
stats.num_shots,"(6.0, 140.0]",114,0.16666666666666666,0.14035087719298245,-0.02631578947368421
stats.avg_shot_len_sec,"(0.612, 4.331]",136,0.14705882352941177,0.11764705882352941,-0.02941176470588236
stats.avg_shot_len_sec,"(4.331, 8.884]",135,0.2074074074074074,0.2,-0.00740740740740739
stats.avg_shot_len_sec,"(8.884, 23.025]",135,0.2074074074074074,0.22962962962962963,0.022222222222222227
stats.avg_shot_len_sec,"(23.025, 265.165]",136,0.07352941176470588,0.0661764705882353,-0.00735294117647059
stats.cuts_per_30s,"(-0.001, 1.78]",271,0.12915129151291513,0.13653136531365315,0.0073800738007380184
stats.cuts_per_30s,"(1.78, 5.064]",135,0.21481481481481482,0.2074074074074074,-0.007407407407407418
stats.cuts_per_30s,"(5.064, 42.308]",136,0.16176470588235295,0.1323529411764706,-0.02941176470588236
stats.lighting.s_mean,"(-0.001, 0.168]",137,0.10218978102189781,0.10948905109489052,0.007299270072992706
stats.lighting.s_mean,"(0.168, 0.27]",134,0.17164179104477612,0.14925373134328357,-0.022388059701492546
stats.lighting.s_mean,"(0.27, 0.408]",135,0.18518518518518517,0.18518518518518517,0.0
stats.lighting.s_mean,"(0.408, 0.915]",136,0.17647058823529413,0.16911764705882354,-0.00735294117647059
stats.lighting.v_mean,"(-0.001, 0.368]",136,0.125,0.14705882352941177,0.02205882352941177
stats.lighting.v_mean,"(0.368, 0.51]",135,0.14814814814814814,0.14814814814814814,0.0
stats.lighting.v_mean,"(0.51, 0.618]",135,0.15555555555555556,0.1259259259259259,-0.029629629629629645
stats.lighting.v_mean,"(0.618, 1.0]",136,0.20588235294117646,0.19117647058823528,-0.01470588235294118
stats.lighting.v_std,"(-0.001, 0.209]",140,0.18571428571428572,0.16428571428571428,-0.021428571428571436
stats.lighting.v_std,"(0.209, 0.256]",132,0.16666666666666666,0.15151515151515152,-0.015151515151515138
stats.lighting.v_std,"(0.256, 0.297]",134,0.1044776119402985,0.11194029850746269,0.007462686567164187
stats.lighting.v_std,"(0.297, 0.468]",136,0.17647058823529413,0.18382352941176472,0.00735294117647059
stats.movement_counts.static_shot,"(-0.001, 1.0]",291,0.16494845360824742,0.1718213058419244,0.006872852233676979
stats.movement_counts.static_shot,"(1.0, 3.0]",125,0.136,0.128,-0.008000000000000007
stats.movement_counts.static_shot,"(3.0, 64.0]",126,0.16666666666666666,0.1349206349206349,-0.031746031746031744
stats.movement_counts.pan_horizontal,"(-0.001, 1.0]",455,0.15604395604395604,0.15164835164835164,-0.004395604395604408
stats.movement_counts.pan_horizontal,"(1.0, 41.0]",87,0.1724137931034483,0.16091954022988506,-0.011494252873563232
stats.movement_counts.tilt_vertical,"(-0.001, 1.0]",476,0.15756302521008403,0.15336134453781514,-0.004201680672268893
stats.movement_counts.tilt_vertical,"(1.0, 34.0]",66,0.16666666666666666,0.15151515151515152,-0.015151515151515138
stats.movement_counts.dolly_in,"(-0.001, 1.0]",484,0.15702479338842976,0.14669421487603307,-0.010330578512396688
stats.movement_counts.dolly_in,"(1.0, 21.0]",58,0.1724137931034483,0.20689655172413793,0.03448275862068964
stats.editing_rhythm_guess,fast,68,0.19117647058823528,0.14705882352941177,-0.04411764705882351
stats.editing_rhythm_guess,moderate,67,0.208955223880597,0.22388059701492538,0.014925373134328374
stats.editing_rhythm_guess,slow,336,0.1488095238095238,0.1488095238095238,0.0
stats.editing_rhythm_guess,very_fast,71,0.1267605633802817,0.11267605633802817,-0.014084507042253516
stats.lighting.quality,high_contrast,351,0.14814814814814814,0.14814814814814814,0.0
stats.lighting.quality,medium_contrast,173,0.19653179190751446,0.1676300578034682,-0.028901734104046256
stats.lighting.quality,soft_low_contrast,18,0.0,0.1111111111111111,0.1111111111111111
stats.lighting.condition,bright_sunny,62,0.1774193548387097,0.12903225806451613,-0.04838709677419356
stats.lighting.condition,dim_low_light,210,0.11428571428571428,0.1380952380952381,0.023809523809523822
